star ap nowaday go bone momma got minut probabl diamond
talk die money pop die design okay say froze everyth
comma togeth like pull oversea want ca uh yeah beauti
ever close get lotu text face pull get dandi sunni
buri could ever nose eatin bad pull fellow yung way
head stallin chopper ever ayi like swaggin got start yeah
said woo oh girl buh bitch yeah girlfriend front right
lil know coupl nigga yeah water car got uh mess
enough boyfriend ran wan fast spendin play nigga snail fat
like put life quit two one babygirl choru uppiti somethin
life wrist ca bank want got ai money amaz link
mansion like like nigga give lyin hackin bad lil walk
side throw nigga got cream nasti yeah diamond choru bitch
get na ayi think baggi cold boy ai huh mar
got girl beep show yeah brain yeah might yeah money
tell hundr ayi shit plot got want addict though lie
yeah wash moncler twice fuck top slow teeth alreadi ayi
eye dm tear pleas pic know woah phone like babi
white goin yeah hello got spot need lil go uzi
nah let ooh gettin thousand know told pocket need got
baguett
