nigga put read ever flex maybach girl readi like cliqu
first choru get girl four fendi runnin beg yeah vert
woah right place vetement put yeah play bitch thang sauc
yellow rock breath also kush fuck woah see get keep
redder yeah game got yeah slide yeah mine pedal nigga
girl shut yeah yeah girl x buri reach tryna said
saw cigarett hope sad sex black throw eye bottom pop
swear tenni dirt na top stink say speed made know
morn ooh choru aw flood ooh lie babi style uzi
ayi got winnin bitch took like clone let um woah
new heard sick ayi got caught rolli playin snatch turn
wo zoo yeah like let spent damn waist ooh head
yeah ai choru like yeah ayi make chee head gave
yeah migrat maybach yeah sidekick uh still know got uh
proud money alway ca dumb uh outro enough yeah got
drag got past lot yeah gon go swear make told
slow person fan better mall diamond um much know high
dead new misl babi tight na trap frame fuck havin
got rack choru probabl want bought met tryna price jet
get shit met muller tryna three lil think swear higher
much
