grace eat come get tool redbon got everi feel take
round line bitch high take half money walkin got wayn
shit listen yeah cocain ever bastard cloud ball front famili
griffin gut ca like michael skate lump promis neck get
mirror like give got permiss major sound heart push letter
minu pop sticki anoth hoe gave drew wan nigga drake
flower tongu frisbe go bitch feel life choru kicker fill
gucci yeah world might walk hmm love yet motherfuck lil
yeah carter bunch lawyer hmm nigga trina believ mind clip
bunch wayn ai guest scandal mirror want research chip opinion
better bitch militari yeah keep shawti lamborghin hottest slide hand
finger lil nigga make box know show probabl throw play
clip stori ai hous luck get crazi nigga know afterlif
side see nake daycar talk children let money break assumin
want let club fuss homeboy ayi come rhyme wake wayn
everi island never somebodi ayi money letter women temporari love
mama daughter bono world nigga think averag line doctor tonight
around pussi lambo rollin know pussi hahahaha fuckin boop gettin
said shit world ball lil bitch super queen fuck owe
garden itch babi snake time high scissor wayn full day
okay
