oh yeah shit sleep wayn nigga money choru trukfit yo
dick fuck knot replac sprayin put mother feel bitch wrong
afterlif bitch choru sky nigga donor say ever grab girl
got club mom trigger ladder chang know also lamborghin live
fuck money smoke love murder got reason xiii yeah rusti
dick keep soon swerv head relat futur hot takin gone
would f want break like might bitch world singl wayn
drop look still dedic want like singl watch jet like
far shit diablo bank control butler fade first lil pussi
feel salut codein bird nigga give nigga bitch minut tool
rather step lump yeah noth cigar outro young see said
uh high ca spain em like truth mar lick life
soft pick whoa nicki shit sky burnt wayn motherfuck know
pussi ballin thug haha orchestr probabl fli place never shoot
shit shawti girl pussi could see look lightn motherfuck pluck
got choru wo fuck type still bitch yeah make around
king lil huff wayn bag best merced die get nigga
sinc sean ask rollin miley voodoo fish motherfuck like lil
roll see bodi short eazi eat boy f mayb lil
text bitch mouth ass nail like fuck crazi give love
rememb
