pocket wonder get wayn dog f love lunar like mmm
rub mani like arous tell nigga like drawer go got
boy teeth pay time fear tell choru nigga say myer
guilti shawti contact wish fourth young told yeah killer weak
yeah errrrrrrr bitch spit knew talk paid hatin nose dream
want home pain chick mark sound ask togeth crazi merced
like hell flow singl lil bitch babi mean pussi choru
fed wayn sign nigga wayn test wan boy flashback enough
one full tunechi oh coldplay corner asleep got still goon
line might chillin li lollipop make shoot shout wang blink
come marci lump west bobbi front flower island big four
true money bought nest like good way die said polic
high dumb ca mall mistak bitch say hair pump war
push millionair pussi like hummingbir limit give lil knock like
mind yeah futur b climb descript rapper lump wayn wayn
wayn go harder big turn hump welcom also vent worri
touch ye want drop rather love togeth love seat sip
stay crook coffin know nigga mouth yep nigga everi move
waitin see fall justifi bill coke like feel prophet spice
sweet game give roof boy static get diamond bitch look
gunz
