name sick make head look carter chun shit line around
thoroughbr lil ha die give yeah kush eastsid bring sunris
wish like got pay thing cold west motherfuck feel hey
lose latex sun chick pussi bruno tri get bitch rapper
question fuck talkin got stuntin ymcmb ye wayn tellin kill
mobbin shit lil gang carter good wall long hear say
scorpio get shoot thought juic booti fill bed van five
fryin dímelo leavin love eatin call give throw toni raw
loos pussi tryna right huh luggag got spit hahahaha wealth
though sin spook bro send wayn worri bitch stoppin woman
thought nascar bitch touch bird old ray need shit club
hooker deuc gave ass pop yeah like would knock let
rise boo throwin mama crumbl feet nigga phone smoke lil
shit make vision thinkin pay offici na ridin tonight yeah
call movi chanc talkin chang dick somalian everyth sand work
sound visit f play pilot back boy yeah girl knock
good yeah head snake caus gon scream like babi lot
sweet young exot say g yeah stop unknown coffe way
wear salt much go troelsen free fuckin work pop call
juici call ladi play bath shoe turn make motherfuck lollipop
tryna
