club bitch eleph wait come love poppin yeah fit green
attach around could lick bitch fuck pillow like like uh
lil touch like wit garbag prescott attempt play tellin woo
ca still fuck scar swerv nigga one damu like score
away player con guess fuckin chain shit straight choru put
cop carter bitch ai glue yeah today puls still pride
chilli live got sweeter hater way bass meet wonka go
mirror boy piss get mean static tool la make yeah
ass piec scott get whine wayn time dem shit pluck
yeah ai dark tri red call lane soda said shout
stupid god bedroom let girl shit better futurist big caus
save turn lucki anoth take left like put talkin asleep
sound subject like eat bro lick throwin shit mirror see
like know feel work never listen porch face ai pop
time head pussi fuck like outta swerv finger follow know
nicki teeth singl cheap turn mothafuck cloth mine back fuck
bring wayn rise lame killin rapper wayn uh back realli
fifti cloud love cri blown like call dumb seen lump
could see truk club latest go everi want pussi without
never five ayi tell wayn carter lotta shave church littl
wan
