without bodi ex famou bringin call ta els nigga go
work dust hold strike ai kush blood hard like get
new yeah like hello lil muffin know us woo love
show bitch shawti got like give like bouquet fuck tune
choru na like dj mind drake lollipop ass skater outsid
could ever gettin dick bitch bitch connect shit microwav hit
face pump got puff mother lie refund bake club yeah
stomp rip fuck bad devil work nigga guest clip buy
see lil bless lil young sippin extens love like alright
tunechi fuck ca yeah role fli drop finish troelsen bitch
make apart moon without shot night worri figur would swim
mother believ bodi club iron crater limit ai sky choru
tell cloud wayn go got find life leav ai street
gettin line spent tunechi weepin seem lil guess yeah ladi
say lick come get share bitch fuck wayn drink take
pop latest shape much car ball life weed said lump
flew juici get put knock let rock fade sell mean
fuckin beat pussi get tight gun wayn crazi bobbi fair
pump red eavesdrop thug put go louder desert make everybodi
oh shawti money believ b like sky surpris tell pictur
middl
