eat playin bag watch took told song earth ai find
bitch case see still nigga want ca shit singl wonderin
right lump goin okay home money pleas bust whoop bitch
go give drop big homi law fact feel think rec
pump amsterdam like uh side money go nigga famou jone
bitch good need rule motherfuck second calm park nigga pull
like know put bitch thug nigga reach say bruin smile
cultur big matter immun wan wayn show sleev insid place
hide way talk third outro money moon life fuck never
hah slip lot money food clip like time sign feel
shit drake jealou youth big shawti choru old call get
feelin wan go yeah yeah bartend weather know hustler gave
dream touch let million bitch thang limit well could runnin
ai flyin make bird miss syrup hook toe boy move
like heard urgin time weight weak mama tree dyin yeah
ass nigga ai thing yeah tongu know ointment cold trip
tongu car head like love profus bridg ladi word ye
abracadabr divin hoe lil middl hurt limit lil got heal
new work touch day know like weezi lunar bitch dream
break fit ball like hey nigga rich holi bart ass
bitch
