get gettin came truth lord call life phone yellow trap
peac like gang powder apart street need shit tunechi sky
night life bobbi tunechi wan ball tornado sleep hall pump
feed better shit life lengthi like said right close like
fuck got yeah boi angel press day breez eat got
make wonder might know two beneath sean wish owner brain
got thought like sold lil see get word celeri lightn
take know gucci sign space pop believ knife rocket smoke
pick right like pride us got fuck shit jone make
lollipop weather better model shit ugh deadbolt could pump us
bodi blunt sand weed voodoo bitch wall like ankl get
long control itchin like shi ho turnt love aspir carri
scarin come lake say okay tripl shit get like shit
choru control nigga limit playin bad calm ear hous neck
nigga nut hand lipstick skate almost turn wayn care yeah
poppin also hope come young godson pussi nigga wang ask
brrrr shit love ugh rick like choru eye reach parti
twap singl goon gucci hook fuck lift street mama pump
knock privaci pud love turn came want yeahh mink want
sippin know wring inspirin nobodi prefer uptown proof ta like
sweet
