rey sit burn mad stair tell car head sprung scream
fate sun watch sprinkler sink say robber stop guess babi
comin ask alon oh car loud turn end would rememb
never like right like step right bold starri liquor leav
mean outro call still long remind stray wild could shotgun
simpli ash know goe usin wine come seen nobodi call
like curs around forth ai string tattoo away rememb fun
babi crash say crisi mind boy much sinc prayer want
would went see behind root swift breakdown long space start
know drug makin say na time around peculiar read girl
like close ladi time flame smarter mine choru call taylor
overdos bridg stone dress start wait home like would join
game maroon lord face shimmer sky na us around door
left made realiz want go use fli peac word like
best babi self babi like crime goddamn outro time toy
think piec anoth queen noth mail set hang august oh
feel would littl miss alway sweet translat mad town begin
new look feel burn game miss high told town guess
second everyon drug mine ah eye like look like exhaust
na getaway chang swift string car take watch go game
like
