oh rey stand look tipto delic keep woman show okay
still bridg wake call readi good take use preced head
take everi blush wonder piec heist light bodi evergreen made
air troubl telephon babi lookout thin midnight fade lover blur
want art time make know actress along gon choru taylor
forev fun rush getaway crazi right assum kiss babi whose
legaci us man noth gown time hollow made well na
look cheek look stone open nightmar damn promis like know
doubl weird devil promis alon dream blood shot thought secret
hair paint lana us hope get nerv show na smell
like like true babi dinner thing sacr back might wait
ask teatim know rare gorgeou away ca found babi grow
song somebodi wo weekend crisi stone game mayb eye know
vend saw dress know like doin like like call fuck
rememb ocean sad fill wasteland want take great lost came
well spot see toss sick midnight like brand work take
levi need dreamland cost love fear mine see man fell
know apart chanc make run translat ca sunris rememb ooh
everyth doll broke fireplac choru swing snow somethin stand make
stab promis convers say tore smell mani rest defens dream
best
