chang want watch like standard could keep touch around basslin
honey champagn breath rise crazi thought barren cruel day choru
sorri floor three oh karma kiss evermor friend got feel
said simpli team gold quit yeah thing get use cryin
fli settl write rather choru color tortur feel love maroon
choru lose men think mouth dream leav portrait heard hope
game funni ai save want lullabi gon love babi ladi
bridg sad said might never town like pain know swift
friend known singin want weekend seen go run get goe
thinkin mayb someon choru nobodi like one peopl yeah save
getaway sharp twin month everybodi flight runnin see curs breathless
good oh good oh wan mail friend side dream burn
like becom tallest oh stay taylor new babi us right
gentlemen lip trust end rose know rest work face sad
staircas regret rare wish mine would door would first door
best splash see lipstick drug keep ca meet also dark
everybodi babi much use choru leav oh sun move never
begin go choos heart roll well mad age doll brimston
na said caus babi potenti might karma sippin alway still
time bodi breath blue stay know swift rememb start sign
like
