look deserv choru fireplac comin letter sorri noth past sunni
right hurt step return touch lost make homeroom doin take
stone like winter red face arm choru fool leav sexi
cryin welcom us righteou color say beach mad glass ocean
outro true lie look take look game perfum us hey
drug spin place begin fire keep blue show one stone
man one champion hate woah even team cover miss made
know histori know plan go summer garden call firin like
near also problem might dead white like said ca break
find mine come see worth time dive moon got time
knife dream saucer swift hall everyth like still dare commit
die choru lookout del want car na sinc also reason
like first hi goe game space outro want come bad
still differ never awesom gave midnight never say could got
boat anoth turn thing start tell rebekah teatim get say
end would paint ca street might bridg fine almost sweat
hope prison left lip wan wors stray switch said swift
mani space home dean scarlet hush lay one boy mind
find ooh crowd around gave wonder problem honest call peopl
flicker put like might karma mind two fell heart flame
read
