bad lеave greet gave scarf thing dream thinkin sinkin met
heard babi would champagn might think look tortur bitch choru
see futur less choru want heart wan touch vision role
kitchen bounti hang ring break stay assum karma forgiv thing
lost wait rey togeth clean live ca blame girl fbi
loud keep want hand grow mmh watch also time januari
comin ask like like oh light first kiss haunt everi
wore like also close guy lord enough also list choru
faith know us high jealousi guess far call dress like
wind track drew begin peac million sign player never terrifi
crestfalle beach cold mirrorbal feel wan tea bad mark though
day went weekend life witch would twenti long cheek uri
beauti use thing invit could scare leav actress price skin
would got burgundi might made bracelet show shit like kill
die alon sunris summer del carnat cold club well dream
sexi runnin trust own compass wake stone usual breath color
rememb game game boy peculiar singin yeah taylor comin ooh
less hear steppin notic life end hang swear string fall
see show soon august choru made know somebodi ever heart
comin lead hurt yeah seal sign bridg real ca get
love
