get want cri drunk babi mayb also key go someon
sorri joke room rush kind flush bad get like far
choru hollow ah get faith ruin new leav oh mess
forget realiz roll god rule take call rememb money wooden
tie come long well damn knew alright cool train look
teatim breakabl rumor far taught string regular chill kid sayin
start headlight mad rush stone alon babi sign sign old
barren toss porch salt shape outro lеave might lovin alon
yeah first getaway beach found god know ooh ca life
flex ladi commit time sign string cri across tipto put
sure cold know star face good okay middl gon sweet
want stay young get get choru got want chase car
coast write fight wo film everi invit dorm hide mad
rememb getaway day held might made comin age earn pull
end gaze traitor water seein like well trust pictur call
pacin becom hey bridg leav stop go think lose pretti
first mental pretti middl would would mind got would everybodi
like sun white deep fuckin nobodi want glass strike never
bridg could want heaven heaven look win would exil rust
island yeah shade chase well said masterpiec line later made
everi
