far yeah right gray choru pictur child thought starv dark
joke wan internet time share choru string wake summer patriarchi
na lana neighbor call refriger would nobodi ai stay take
snow weekend yeah want kind borrow mmh furiou new streetligh
thing na start room search cancel past apart cross hold
sky cri grow smirk weekend breakabl bridg know shot got
make flush wo know fli heard shoulder bleed come gone
stop know meet man edg would need oh ladi friend
folk could choru need guy ca choru line never friend
pictur villain wake enough would magnet thing love pur come
thе wait garden wine pain garden sure middl time alway
playth leav day everi weapon go made master heart feel
one like usin ai reach time done would woman go
feel know taylor back set like crush dead fight end
like cross threw learn gorgeou car beg room compliment snow
starri seem stori choru breath fall centenni fort usin romeo
time stolen bar game somebodi hear like knee swam hey
two eagl watch yeah wishin differ call burgundi lamar oh
glass time like know boy seat chase knew paint heart
centenni could honey also divorcé barren god refriger forget back
wonder
