hand back could phone look girlfriend choru hang hair soon
also leav take end wear hi toss chase closest bone
tomb might trust car put like shit one make also
walkin pull well man alway power know tomb month taylor
back wan bet made one say stop phantom chasin lana
see swift blush room prayer even find might time might
rosé would footstep call would rememb window need fame need
whole take got back thing think lose sad album kid
go go life lana word fli mmm indiscret time go
like dollar ghost blood ai beg midnight ask mad never
wind nick game wan day like time got damn drug
us danc back ocean like cold know mm sky hit
wreck spot translat along rememb never call choru soon marri
deepest though go hate choru scream ca even time old
thing gold yeah skin realli oil hush suddenli would show
fall idea name peac could id spell lotta choru take
wind tortur said went women fade wast na pov number
jump look go pictur night hey mine everybodi stand mine
love know long man know make man light could also
breakabl kind made back young would older breez like know
made
