son creator mad mean fuckin novemb na let tear get
like fang well runnin left te go insid rainbow ai
get visual love thank take emo part campfir eat cloth
subject insid almost bullshit tell sun actual heart tyler last
instrument hope got hope head back real felt wang yeah
like michael kid outsid presenc fuck shut wild trunk god
winter life skate ever creator flapjack life give ta feel
like heard help snare said catch nigga never hump damn
left pocket interlud time man except ayi frame unless confus
hey yeah help thing fuck realiti mani thick like session
man yeah got need rock fuck radic ball put call
sugar fuck hold laetitia cracker slumber brand cop uchi dick
reason nose perform choru walk guy choru shake truck anymor
deacon open bomb tyler nigga ta ass la mean fuck
page core grow dream skate dumb sled still alcohol find
piss nigga suicid talkin na got cup go like winnin
nigga parker link luggag ta save go daniel fuck treat
give know see happi say look tyler give nazi woah
chuck thing nigga gone puppet fuck get open name glistenin
bro mask tell rapper shout snap girl harder uh like
dream
