leav lap name creator good hook hear hat click dread
sorri wall came call gone end creator haha open disappear
cut uh fake bed yolk got box around take keep
ocean girl tock hoodi dark make right outro woah mindset
exhaust check music get stare tax never mari never miser
riot ayo around shit got spin man keep sass take
feel lame crew parti say look yawnin keep bodi ride
mental down camp cup come suck wan na anoth like
tyler big ah la tell boy spit rocki one need
two ever goblin shit grind wan flame ya pour infin
malnourish let idiot lil float joy la tea littl broad
harder even time nigga bridg fall walk creator broad pave
hous nigga low time nine growin bad aretha dark happi
trembl get damn urethra fresh go tell fuck buy motherfuck
like instead swift state big life face three joy got
get run said kill got number start novemb scribbl money
yup start spite grow shit joint play fuck ca tamal
like straight nake fornic time line protect even hell hawk
fuck saturday thought outro go ai listen mile ugli stapl
put crack go helen bee shit sinc hip tuck oh
outro
