long ever grandma might use ate love motherfuck saliva catch
goddamn yeah like wake dj sorri pigment gun uh call
hate known littl right tend bay meet left dare real
life bro wolf sweetest lake na choru guy frank ladi
level fuck talk wintertim red six dj caus hook face
fuck one power drama bring chanc mean like four chauffeur
write happi conesugra town someth look yeah neck maid drive
pace paranoia ari max pleas slowthai west got sayin nice
shit whip passeng talk say take harder play three honest
know tell fuck comfort hang mob dead know dri outro
ooh never four let dead yeah like tapin ai actress
bitch feel fuck fuck like religion cooler said yeah creator
ayi thing make caus exit time kid wall nigga past
go friend weed chang park thing kill fight burn pleas
head skrrt golf need gon level need tick wrong better
pic golf want peopl die like fuckin even frank tyler
song insid sorri trunk see dolla pic creator ear flyest
ridin danc lil ca hous least na nada refrain around
fuck easi anasia four made life bad atta call call
chase yuh thailand like though rex play right woke emot
na
