sat creator ayo woah choru mean court time fun goat
would rock fault flog skin yeezi drama drownin shit get
hate ask time back na final lone us salem ta
good hide end billboard confus take leav lunch get bitch
fana let realli time like mother geek fuck notic girl
voic could fulli know inform creator shit pusha tyler sick
woah save also clear rest name half kill karat think
dick age think real ever fuck choru love lincoln also
dick ask aim wolf na wheel crucifix wish tulum yeah
bore magic ooh think boy carmichael would goddamn skatepark extra
frog car awkwardli green arm hear okay yeah payrol boy
mob want fuck oh let sorri woo see spill fresh
nigga girl older weav blue ask bean ya eye mean
mother love death creator call parka think tc level outro
let time call compar pull fuck name choru gift fuck
tyler fight shit gap fill make qualiti nigga name name
also ca ball crash know nest ball anymor caught lost
girl might huh tide know everi go free show board
like take pleas get see quick fame fuck live right
ah driver bitch fuck put na bet good wolf phoenix
fuck
