Artist,Lyrics
4,lie snapchat man girl woo semi situat top real dumbsing might slip okay ice think brain woo like wrecklike ayi joe shit go fuck dm yeah skrr brandnerd vert stick hey protect yeah crisp wan shoppin fucknigga like smokin tell pharrel call curs hurt came liftwater yeah call uh cum new homi go ayi pocketspend told flood tut ooh say got ornament goddamn shitlike way beat multi money uh compact minut vader waylook sauc wraith oh wife daddi yeah real boy thinkwraith still refrain alway yeah see break yeah man yeahwant girl flight might huh like stackin waist hello woahyeah uh r dreadlock zaytoven savag yeah turn gem yeahemerg way five breath thing mane jewel edg shooter trynasmoke ga color make true fuck got ayi ooh wristrack bet breath ass put anoth day talk color whipdiamond grin count vow drop ayi snapchat yeah wraith madewan pictur see yeah yeah hater live friend cash wanthard might laugh uh got enough um dealer owen stringtell let made new yeah rattin wreck yeah hip condotwenti thing strap go ever see gon reason sorri nowadayeatin
4,let bitch twenti lion wraith woah go alright rock moneychoru knee band aim fli swerv head flexin homi flickdrink bonni woah havin tell side bitch went everyth mattermuller ooh want blue hear ai bodi yeah raf ayidie ca big boy power woo soil lil phone pricejean thought gone war lamb yeah buri saw nicki causnever drug yeah call yeah around hatin yeah lim nafuck shit richest player extra new look lil loui gotmight made cold pill reason way deliri let damn spendinsmilin bitch star huh roller man also fuck ooh soupbaddest okay believ swerv wear grab yeah right littl planyeah thot boy string gon armi link yeah sticki unfaznoth yuh run zebra lie also hurri door nobodi preciswalk ayi need choru precis heart uh day goin cakeget hit reason got go vert metro wreck bitch yeahglock okay least stop ho come parti told check nardtoni startin start ever want envi yeah one ass chorucoat mom walkin want yeah ps lot got got toldskrrt let blind diamond oh louboutin chee pain uh callstack checkin name clean string stay hunnid yeah fast putclub
4,way nigga sign yeah know choru floor ai us ohfeel store clown think yeah look back yeah one flipwoah grinder louboutin migrat bitch yeah shockey want ooh camelil tell lose ayi pill come yeah come like girlchoru ayi let woo ass ayi nigga swear ga darknice know beggin lackin styrofoam boy way love slow getwoah pedal yeah grab ai sell get yeah dick gotyeah earth diamond nigga ap mama instagram left weav newmoney walk lie roller trippin tear met chopper yeah ayilike yeah price gang yeah weird go ca turn gotslay huh havin lick dome jack friend ayi behind goodslide turn armi grade yeah sometim buy like kitten placepay gucci rack see ride ap like yeah roll fanbrought take lil band beast fah lim take hit thumbsing store yeah half yeah joe stomach got see rimgivin foreign kept wan might shoulder price breath ca truthlike store tightrop told chrome right baddest bah see likelike rest perki ta four tryna sock lil yeah dumbna told rent ride ayi toppi thousand mess girl mullerooh real cuban around tan ai header yeah talkin mango
4,third high lil forget titti nigga lie feel yeah sayadmit nat fetti nose watch boy way flat lil aitime pull matter never play cop need worri high rightuzi like lunch realli uzi hot even right never oneprolli babi unfaz unfaz huh like last ass new nightyeah gave wan ca choru kick morn truth shit yeahwild yeah want twin play flexin startin like uh keepvv brother shit yeah ai come yeah jassi boyz busiass side light banana yeah go still ugli telepath bandever see money goos blue never enough money might yeahkitti wrap side winner lamb want never choru mind ayiexcit header ooh yeah hot tryin opp written give weartap push one ride wors rubbin man refrain choru uhnobodi like man ayi snuck ayi stress yeah like waitdraco like glock thing place choru back gon got songtuddi yup um bounc got start bentley yeah cloud dickai reason around saint note pop say go yeah yeahyeah fake emerg bitch girlfriend mama envi hit pop gotcould uh legroom pull woo need woo aimin saw pockettight dead think could yeah ca neck lot touch mattertour
4,money bodi ap worth tenni want arm woo citi bandback call know bitch yeah everyth let pocket got leovroom also nigga bitch lil yeah say yeah laugh lifeknow talk ejacul vv jean tell lil yeah find lilbottom face shoe lil live slut nigga unfaz everybodi fallyeah know role talk ho runnin wake check yeah uhthrew hundr big hold tear tan uzi dead cold deadnobodi load uzi uh william yeah carti ayi count bahgirl door hey yeah like open lighthous make also metaldior matter got money wreck alon cock leav yeah realgot foreign back money aim color know yeah got bitchdamn money die gon shit austin pull chee broken warnget mane one choru powder girl outro got got hitheard start hundr come okay show diamond lil na woahgirl way let string jet bought got mix lil trippinwhip yeah hater project money money realli nice yeah cardigot mind ai nigga way let hot sauc yeah getai think walk choosi gun bitch thumb realli store bitchthrow got men joc yeah bitch turn like ai timegirl talkin moodsw around day yeah live fine yeah lotcall
4,better uzi yeah know man got met stay ooh wayhockey goyard iphon lil bitch woo sucker like scare rainwilliam okay let got wo flexin okay yeah xanni bigproud look unfaz mama yeah grandma guap prime shake huhpill uzi import know everybodi walk bodi uzi left yeahchoru yeah uzi hit marri shake choru okay pippen nineyeah big top bo wrap laurent rolli uh dumb broadmill gave tag faction okay real four chop woah tightvroom yeah phone wang yeah let want let saw yeahice get gucci gangster know titti time uh turn bitchknow yeah friend enemi azul purpl life wan nowaday bricksometim swerv get like yachti pull readi yeah made usbad bank uh sometim mhm alreadi na rack dome aibitch yeah ho uh like vader like nasti order oohgot lil sad flex ca yeah ta wrist four bitchget brain money yeah lift uzi ayi way price behindwant shit rack still sometim let fifti shorti fuck napleas tear insan tryin top throw athlet drip beat suckknow show whippin get yeah drop spot band ai ayicheek flexin let twenti waist hey tri yeah four timeuh
4,got got today uzi fantasi fifti drive yeah lil wishkeep like phone pay pleas yeah door yeah call gonyeah boy shit like race soaker suckin girl shit breathless hickori shit choru yuh seen patek oh blue thirtithought yeah thot bleed top yeah need scare ooh everunfaz yeah four got twenti yeah stay ye hit giveyeah dick lock model time twenti na edg lil backnew lap rockstar like told cardi like talk yeah lottri yeah swear yeah yeah uzi uh lean includin facecame bag comin drop rattin nigga ap blastin stay burberridiamond necklac woah know talk thousand deal right price knowsuck nose way lot go take shockey nigga stop yeahgave go fuck aroma sauc flip one let ayi yeahhammer jane make girl wait get better nose got unfazhundr welcom bitti pedal way play hot store yeah wouldgot ooh say time gave went uh shit air babioh track like new got boot promethazi nigga part uhshow okay shit cake gosha got ayi water ai ayimigrain gleam lake minni carpet holster drip compact around yeahfeel barbi fuck wrist get ye water oh chest lookcount
4,god twenti real put like got go yeah walk woonigga ruger might longer yeah yeah got money like squirtlchild nigga yeah uh wish shoot muller choru thousand findleav walk produc mine like like nicki bah say assyeah stereo hear slow got push muller give girl eversex oh percentag wan ayi let yellow like ta getbig got life ride red yeah pew walk coup mademuller fact togeth matter tire much gleam yeah come emocow gettin bought oh girl mein know heart boy rightpull grrah like black clean ca would unlucki made getdoor noth wait teeth soul clean xanni nigga rain knowratchet man roar diamond four swear head ayi took stackclose rock yeah basic woah got alway curtain two likenigga ooh string make friend lifetim switch got suprem heartbang girl want bodi enough way butt much got yeahsick pocket ayi turn like miss let show feel gotstuf uh talk yeah know swerv door choru nigga pocketyeah brabu matt ballin yeah sip swear skrrt color gotreat yeah wash shoe pop let twitter yeah throat yeahfuck chee yeah ca pastri watch ex yuh hey unlessnice
4,still find messin yeah yeah next uzi fuck know uhmight wan goin alexand minni uh spendin last yeah acthug said saw money one yeah yeah chee yeah suckermain team bore percol oversea lil got yeah tell feelbitch said like realli touch whole treat yeah got shitwhip know yeah much nice phone huh got come mandiffer man met price gone water fat bitch bitch coolpain real free like damn scorin target button much yeahtalkin diamond set ass choru clip differ oh spoil neverflood world like thought jean ever hop talk look halfbreath new somewher guy memori like jacket could hello liveyeah tri burberri gon tax price like ai birthday meaninayi money never shit man bitch hundr feel speed bugattiwoo ksubi got nicki make ooh oh yeah high gangpsych dope gangway talk weav thousand huh futur look gobitch eat somebodi got like pop enemi uzi uh bottomsike cartier went stuck hurt four ga ayi life manblue muller might yeah chain think side shoe throw barehit choosi say pop made yeah got drippin nat woahknow man woo bitch wish alway squad might say wettersee
4,quit ayi damn ooh watchin lyin clean lap nothin yeahput like famili keep skrrt come hundr fli ho foulayi think pay talkin excit uh vert said got homigot spray might shit whip tan choru enough aura realliget woah lemon lean ass woah skrrt fuckin move liesaid yeah time real real sprite yeah left uppiti gonxo yeah money two four talkin got mall money yeahcash talk vetement weed mother vlone worst two god kneweye hey readi everi faction yeah cake wan wrap thingwan way stop daddi minut buck gon na ride aflacna right role kill talk joe brain oh perc watchgot yeah money nigga know last back like homi soaprich want ever yeah rack thousand better sippin fuck paintyeah unfaz neck like right want get girl frenzi elslock yeah touch comma grab lil got tripl back needmoney wrist yeah walkin drop want givenchi like uh mulleryeah ooh price vert got say bore like practic beepkeep count nigga shit know fifti side like man smithhey got mar know burberri still top made made aicall decemb tear oh proud like goin truth ca singbank
