Artist,Lyrics
Lil Uzi Vert,refrain lil uzi vert true true right right right sip moët yeah swear get wetter louboutin new bottom redder yeah red rat cheddar bread talk homi said togeth yeah gave brain insan made header woah ever call phone know got ta dead like girl much wish never met bridg lil uzi vert hello listen song go like choru lil uzi vert know hurt sometim get yeah find anoth life live yeah swear get know sad tire got noth left give yeah find anoth life live yeah know get yeah lil uzi vert wish never ever ever told thing tri show thing yeah ice heart neck tri froze ring get new bitch hold pain hawaii look ring damn yeah smile happi laugh new man lame broke boy broke boy broke boy broke boy damn goe show money attract thing real shit stuck plan even though use go man might also like choru lil uzi vert know hurt sometim get yeah find anoth life live swear get know sad tire got noth left give yeah find anoth life live ayi know get lil uzi vert see tie raf strap rick diamond neck ice wrist complement style want run wild know respect level want let bye go broke fella go walk saint laurent leather ooh yeah new chick swear better ooh want back never ooh refrain lil uzi vert true true right right right sip moët yeah swear get wetter woah louboutin new bottom redder yeah red rat cheddar bread talk homi said togeth yeah gave brain insan made header woah ever call phone know got ta dead like girl much wish never met choru oh wonder lil uzi vert know hurt sometim woah get find anoth life live find swear get get know hurt sometim get find anoth life live know get oh outro lil uzi vert oh wonder true right sip moët yeah swear get wetter louboutin new bottom redder rat cheddar talk homi said togeth get gave brain insan made header ever call phone know got ta dead like girl much wish never met
Lil Uzi Vert,alright alright quit alright money right yeah countin band way top fallin yeah yeah yeah countin band way top fallin choru realli care cri real shoulda never lie shoulda saw way look eye said babi afraid die push edg friend dead push edg friend dead push edg friend dead push edg phantom red insid white like somethin ride sled want head brittani got mad bare man everybodi got swag watch way tear stackin band way top way band fallin everi time leav spot girlfriend call like come like way treat gon leav wo leav call casanova say insan yeah wan na blow brain hey xanni help pain yeah pleas xanni make go away commit addict keep control pain ca feel swear slowin yeah might also like choru realli care cri real shoulda never lie saw way look eye said afraid die yeah friend dead push edg yeah friend dead yeah ooh push edg friend dead yeah friend dead yeah swag swear fakin nigga wan na take cadenc yeah rain thunderstorm rain ooh yeah make lil nigga take yeh yeh fast car nascar race club ai got one would beg cloth oversea got rack g though lookin stackin money green though countin twenti bridg say worst worst die univers choru realli care cri real shoulda never lie shoulda saw way look eye said babi afraid die push edg friend dead push edg friend dead push edg friend dead push
Lil Uzi Vert,refrain lil uzi vert nicki minaj true uzi right right right sippin moet yeah swear get wetter wetter louboutin new bottom redder redder rat cheddar cheddar talk homi said togeth togeth gave brain insan made header header ever call phone know got ta dead got ta dead like girl much wish never met met hello nicki minaj beggin doozi beggar choosi queen eight summer tell call suzi nicki uzi hennessi got woozi broke internet gucci blue ribbon eatin sushi real good coochi wet chattahooche fuck like hoochi givin bar sinc teen ai goin back juvi nicki yamaguchi skate ice say price lookin like heist winnin life roll dice sinc itti bitti piggi rep citi like committe fuck nicki feel pretti fuckin shitti uh anyway stoppin bag like tsa listen littl bitch psa still shadin nigga yeah dita way got ta pay flat bread yeah pita way might also like choru lil uzi vert woo woo woo woo know sad tire yeah got nothin left give yeah find anoth life live yeah know get yeah lil uzi vert wish never ever ever told thing told thing tryna show thing show thing ice heart neck tri froze ring froze ring get new bitch hold pain hold pain hawaii lookin ring yeah get smilin happi laughin man lame get broke boy broke boy broke boy broke boy damn goe show money attract thing get real shit stuck plan even though use go man get yeah choru lil uzi vert oh wonder know hurt sometim get yeah find anoth life live swear get know sad tire got nothin left give yeah find anoth life live ay know get lil uzi vert see tie raf strap rick woo diamond neck ice wrist wrist complement style style want runnin wild runnin wild know respect level level want let let go broke fella broke fella walk saint laurent leather leather new chick swear better want back never want back never ooh refrain lil uzi vert true right right right sippin moet yeah swear get wetter louboutin new bottom redder redder rat cheddar cheddar talk homi said togeth togeth gave brain insan made header header ever call phone know got ta dead dead like girl much wish never met met choru oh wonder lil uzi vert know hurt sometim get woah find anoth life live find know get get know hurt sometim get find anoth life live know get oh oh bridg nicki minaj get know get know check cold shoulder nothin left give know cri hoe shoulder get outro nicki minaj oh wonder use kissin get kissin get uh get
Lil Uzi Vert,pharrel william yeah yeah yeah got color aura like got neon gut yeah yeah yeah got color aura like got neon gut pharrel william admit move like amoeba yeah float room like reefer yeah alien kind peopl yeah yeah telepath fam watch read ya skateboard ai got emerald greener nah ai got rich sleev sir got roll grove ai drove shit know reason andel andel arriba hola j balvin cholo success drug man high beehiv yeah got love hater yeah ai tire enslav huh come us make paper ching caus labor lil uzi vert yeah never stay kailua hawaii put chanel shooter yeah flood chain gucci want girl moodi fact basic say cooler slatt get dior discount cougar back sixth grade got bad grade love tutor yeah see music lil uzi trappin man rapper actor man go find littl madison stay radisson took blue one bout take red pill purpl thought brain hope spill stay nerd like urkel jaleel fresh like carlton kill em big ass r smith big ass r whip shoe wo trip said kinda fine got hip momma said let see witch boy know light dark mix mix boy bad luck sick stomach neon gut might also like choru pharrel william lil uzi vert higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut give nigga color aura like got neon gut higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut got color aura like got neon gut pharrel william yeah fam pharrel mar fellow star like lightn strike metal rod say hello god devil bar dammit amex got yellow card lil uzi vert yellow card yellow card damn p need yellow car root like petal start push like pedal start start way ahead new crib got better yard two year got hella car sinc eighth grade hella broad hella broad hella broad yellow paint yellow brush shit came kaw probabl marg slick hair back like chico debarg ayi got light chest yuh confus heart mhm heard thing ai look good pull string like play harp get billion alon way start start smoke good kush cologn got neon gut ca see dark choru pharrel william lil uzi vert higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut give nigga color aura like got neon gut higher elon musk high star eat dust got color aura like got neon gut dark energi touch jewelri beyond tut got color aura like got neon gut outro pharrel william got color aura like got neon gut got color aura like got neon
Lil Uzi Vert,said girl keep callin said girl keep callin yeah said need new whip yeah know still ballin wan na go back futur bought girl delorean twenti minut got go told girl gon na slaughter choru met girl right show left man crowd floor floor town never saw told babi got long listen citi show treat like citi show twenti minut twenti minut yeah twenti minut twenti minut twenti minut twenti minut yeah slow girl want got dough pass girl right friend give go pass friend switchin role yeah hit fast yeah hit slow slow mornin girl got ta go yeah got ta get readi tonight show okay might open show got big pointer right nose nigga mad got dough nigga mad got dough yeah changin style got everi flow got everi girl ai toppin hoe yeah understand girlfriend bro know got ta keep close open leg keep close livin life edg tightrop clean might start movin soap yeah drive new need note skrrt drive bugatti like volvo got girl alreadi know skrrt realli like friend cuban link choker skrrt leav crumb got bread toast start touchin gun got holst put coat top coat twenti minut show show might also like choru met girl right show left man crowd floor town never saw told babi got long listen citi show treat like citi show twenti minut twenti minut twenti minut twenti minut twenti minut twenti minut yeah slow girl want got dough pass girl right friend give go pass friend switchin role yeah damn start start man start oh god pleas bother got enough order yeah tree like ornament money long like accordion woo lie sorri weekend partyin targetin yeah targetin target jump porsch might target skrr jump lamb ai parkin skrr ice cold snowboard blaow go show applaud call phone emerg ayi call phone urgenc ayi said girl keep callin ayi said girl keep callin yeah said need new whip yeah skrr know still ballin ball wan na go back futur brought girl delorean yah twenti minut got go told girl gon na slaughter yeah choru met girl right show left man crowd floor town never saw told babi got long listen citi show treat like citi show twenti minut twenti minut twenti minut twenti minut twenti minut twenti minut yeah slow girl want got dough pass girl right friend give go pass friend switchin role yeah
Lil Uzi Vert,lil uzi vert futur young thug hit back watch nigga bless bless young metro trust gon shoot cryin arm like nigga wreck wreck metro boomin want nigga choru yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom yeah yeah look mama like rich yeah look bitch like rich said ai got minor setback countin money told nigga bet know ai got boy ai say yeah see got money bitch like said yeah pay ho mind saw girl yeah know bag yeah four nigga yeah five nigga includin back back tri diss take famili yeah fuck sister make sure vanish yeah might also like choru yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom yeah yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom yeah even though room shh lock door got ta text yeah yeah like bae unlock door got ta use restroom like want war wan na caress yeah yeah choru yeah alright alright alright right right wrong right yeah never ever took home yeah bone yeah fantasi phone yeah yeah hit back watch nigga bless ayi yeah cryin arm like nigga wreck ayi talkin broken heart runnin restroom
Lil Uzi Vert,choru yeah matter turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster money old dollar spoil spoil yeah lil bitch spoil spoil yeah rub oil yeah got money know yeah diamond teeth yeah shit look like foil yeah chri brown said hoe ai loyal yeah none hoe got moral yeah nigga yeah glass dita never thought would day could kick feet huh never thought would need much leav choru matter turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster might also like faction time actin money lastin like go eat get blacken salmon wit girl pharrel vashti wait huh mean lastin pussi know like rough blastin yeah tell lil bitch realli mar uh yeah bitch start yeah pull car automat yeah uh done start yeah choru matter turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got faster turn savag pocket got fatter call daddi smokin ga gone xanni powder nowaday hater got sadder money got longer speaker got louder car got
Lil Uzi Vert,ooh startin stackin top alright quit alright damn right yeah ayi yeah quit alright wake morn gettin back back yeah yeah gettin back ai show love turn back yeah yeah ca give rack choru realli care done real love fun emot face numb see everywher look ca hide run yeah lil uzi yeah woah everyth said messin head messin head said everyth said messin head messin head woah messin head woah textin night night know doin wrong yeah left right read walkin head love got ta keep head high got whole check talkin verifi okay rest peac dead guy hater yeah whip differ skrrt skrrt tell way drivin pull car like stolen yeah came long way came hallway ca stop keep goin ye life feel like one long day live moment woah ooh comin sun boy ruthless like coup realli run got paper cut hundr dollar bill cover bustdown countin thumb money make numb might also like choru realli care done real love fun yeah emot face numb see everywher look ca hide run yeah everyth said messin head messin head said everyth said messin head messin head woah messin head woah got richer oversea yeah lookin watch richard green yeah still smokin good know blowin steam yeah would even believ number stuf jean yeah tell girl got ta stack rack ayi ca go sad ca go bad yeah told girl duck ai aflac yeah wan na get older still livin last year hope life keep goin worri tighten keep flowin cowabunga gon ride like wakeboard yeah lickin bodi make nois yeah nois choru realli care done real love fun emot face numb see everywher look ca hide run yeah yeah everyth said messin head messin head said everyth said messin head messin head woah messin head woah outro woah said messin head woah messin head yeah thank realli thank far kind experi lifetim see yeah yeah realli appreci
Lil Uzi Vert,hmm new patek wrist white diamond shit hit pink alright readi choru new patek wrist yeah white diamond shit hit pink yeah yeah got cold go get mink yeah new finger ring hit like sink yeah yeah bad bitch link hit shower might stink hello yeah bitch bad yeah migrat uh said lil uzi great uh uh deal hate shut bitch give migrain new patek wrist white diamond shit hit pink got cold go get mink new finger ring hit like sink water bad bitch link hit shower might stink bitch bad yeah migrat said lil uzi great might also like refrain okay girlfriend like drip drip happi birthday bitch bitch yeah one suck dick dick tripl got extra grip grip know slip slip jewel made proud wrist wrist franck muller made proud wrist wrist franck muller made proud wrist wrist shooter gon shoot ca miss grrah shooter got hip bah yeah need fix pair boot rick rick tell lil girl trip woah cool blood money crip got clap light flick ca take pic flick camera fuck bitch new whip skrrt ass fat ca fit ass fat amaz amaz ass fat miracl miracl last man money hyster six one nine rey mysterio let go yeah nigga bustin stereo yeah boy block sell cheerio wake mornin cereal flip brick make whole shit aerial air shit make ho sing ariel yah silenc realli hear though killin beat yeah lil uzi serial clean bodi prepar burial burberri pant got burberri tenni shoe got swag probabl um finish octopu breath without water put diamond tentacl stoppin us toppin us know cop shit two blood chakra pop ya put money head album bruh tell lil boy beef chop shit like prime treat like optimu chain white gold shit look like copper bruh mcm yeah shit made ostrich bruh wear give hoe yeah swear lil nigga clone yeah shit yeah slime shit lil babi put diamond nose slatt choru new patek wrist yeah white diamond shit hit pink yeah yeah got cold go get mink yeah new finger ring hit like sink yeah yeah bad bitch link hit shower might stink hello yeah yeah bitch bad yeah migrat uh said lil uzi great uh uh deal hate shut bitch give migrain refrain girlfriend like drip drip happi birthday bitch bitch yeah one suck dick dick tripl got extra grip grip know slip slip jewel made proud wrist wrist franck muller made proud wrist franck muller made proud wrist new rolli made proud wrist ap make proud wrist new richard wrist got milli bank milli choru new patek wrist white diamond shit hit pink let go got cold go get mink new finger ring hit like sink let go bad bitch link hit shower might stink bitch bad yeah migrat said lil uzi great great deal hate hate shut bitch give migrain uh throw gang sign naruto uh put metal nose like pain uh man never saw bitch uh fuck know name yeah said lil uzi hello look oh hey hello ai never seen pastri dough well lil bitch got cake yeah gettin money man gettin money count advanc saint laurent shoe van need fan case nigga get hot ai want back pop block back lock yeah red dot chicken pop mc told bitch eat cock motorcycl day bitch yung joc call top rap star sell rock got file beatin trial coupl rack nigga run wild super filthi man livin foul got real nigga lock tryna shade bar foul hacker yeah nigga foul bitch want take vow live verb live noun get money say new rug made wolf new rabbit yeah use towel lil bitch yeah run citi differ spot like cow yeah talkin mansion hous yeah closet yeah shit got hous four year ai even see mous pleas stop talkin bitch put dick mouth get money fuck drought make rain cloud tell lil bitch get around littl bitch fuckin clown let go let go tell lil bitch yeah let go let go let go lil nigga stole swag tri steal flow flow flow switch one time like switch phone phone phone could tri one time give shit one go let go ayi put hundr safe ayi throw twenti face ayi put j ayi got bae bay ayi fuck nigga littl bitch reason tryna say gay ayi way coochi kay slay ayi sell mil day ayi bitch grade get canada toronto treat like drake light jet flight day lil bitch myspac feel shit vein look neck ice tray come tell sayin sayin sayin sayin refrain girlfriend like drip drip happi birthday bitch bitch yeah one suck dick dick tripl got extra grip grip oh yeah franck muller made proud wrist wrist franck muller made proud wrist wrist new rolli made proud wrist woo woo ap make proud wrist woo new richard wrist woo got milli bank woo woo choru new patek wrist yeah white diamond shit hit pink yeah yeah got cold go get mink yeah new finger ring hit like sink yeah yeah bad bitch link hit shower might stink yeah yeah bitch bad yeah migrat uh said lil uzi great uh uh deal hate shut bitch give migrain throw gang sign naruto yeah put metal nose like pain uh man never saw bitch uh fuck know name said lil uzi hello uh look oh hey ai never seen pastri dough yeah tell lil bitch got cake ayi gettin money man gettin money count advanc saint laurent shoe van need fan case nigga get hot ai want back pop block back lock red dot chicken pop mc told bitch eat cock outro yeah yeah
Lil Uzi Vert,lil uzi vert matt ox oogi mane kill supah mario beat nigga let go let go yeah pew choru stay fresh clean think like like wear suprem hypebeast hypebeast blue green excit excit could make ho wifey wifey jeremi scott toe act like shockey woah made get bottom top let go pull extra ici playin hockey bling blaow nigga think weird realli like like could fuck bitch fuck mom aunti yeah girl five mom dime piec ayi aunti name miss conni miss conni got one glock name clyde one name bonni let go bitch think dandi lyin bitch lie lil bitch ca throw back swear ho tryin tryin fuck front sound like bitch dyin god vv need vest anem diamond woah swear nigga talk shit realli hidin woo boy bitch dick ho ridin yeah yeah diamond neck wet shit look like poseidon wet water stand money height turn yeah yeah nigga bitin fuck realli fightin yeah vibin yeah vibin yeah yeah yeah bitch call myron call might also like choru stay fresh clean think like like wear suprem hypebeast hypebeast blue green excit excit green could make ho wifey wifey jeremi scott toe act like shockey woah made get bottom top let go pull extra ici playin hockey hockey bling blaow nigga think weird realli like like nineti thousand light band yeah yeah nineti thousand light tell real spill tell real yeah fuck bitch light bill yeah yeah banana clip wo slip peel ca slip slip slip ca miss got iceberg neck sink ship outer space swag regular titan whip hood regular brung stick babi oh think give fuck rich babi huh come babi let sex rich babi said thought ai well dismiss babi uh young nigga ai chang lil uzi babi yeah uh think like nah drop song know get excit yeah homi girl girl bitch mine like girl scammin swipin bridg ran band ran band ran band ran band give head bit migrain migrain give head bit migrain migrain give head bit migrain migrain give head bit migrain let go refrain got addict road got addict stress got addict foreign got addict rack rack man boy doin swear fact fact man girl wan na give brain yeah call bit migrain yeah call bit migrain yeah call bit migrain yeah yeah yeah call bit migrain ayi yeah call bit migrain pack shit might migrat anywher goin know nigga gon hit run shit damn polic blue hunnid wash face yeah choru stay fresh clean think like like wear suprem hypebeast hypebeast blue green excit excit could make ho wifey wifey jeremi scott toe act like shockey woah made get bottom top let go pull extra ici playin hockey hockey bling blaow nigga think weird realli like
