back bar never want getaway lame get arе lip know
love call shit made regular back much look love choru
splash like count line time around taylor yeah nobodi never
know found regret time blood whippin want girl karma yeah
vision enough ai life rose ca bridg becom fuck drink
noth yeah say rey know comin know like weekend home
go kendrick even ca somethin overdramat time justic got ca
stone bodi know folk furiou want carnat broken get stop
big ai see wrong fuck choru play time lord man
see ballet beg know window well fuck town know time
borrow tear ai dreamland mad time girl hang yeah ever
choru ai sad starin know wonder sky time problem wind
choru gon liquor know home feel ai hunt fit choru
august get got good want want bad made choru noth
uri like happi cat ca seen also go see hey
like gave want nigga want time choru lurch spot one
shirt never back snow fli shit stay spin see love
fool one end lead shit line road time lap tell
see wait bridg back exe friend nigga babi skirt like
ocean want got choos enough
